Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,33,4211,3537,573,61,646,13,28,115,2,14
C:\Users\Artur\Downloads\Multilinear,33,4211,3537,573,61,646,13,28,115,2,14
C:\Users\Artur\Downloads\Multilinear\benchmark,1,41,31,1,1,10,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\dist,2,245,177,3,1,40,0,28,92,2,14
C:\Users\Artur\Downloads\Multilinear\dist\build,2,245,177,3,1,40,0,28,92,2,14
C:\Users\Artur\Downloads\Multilinear\dist\build\autogen,2,245,177,3,1,40,0,28,92,2,14
C:\Users\Artur\Downloads\Multilinear\src,26,3725,3152,567,59,573,7,0,17,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear,25,3408,2898,518,59,510,3,0,13,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Form,2,384,337,84,12,47,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Generic,2,1300,1123,83,6,177,2,0,12,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Generic\AsArray,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Index,2,191,151,42,0,40,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Matrix,2,274,243,50,6,31,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\NForm,2,231,191,50,8,40,1,0,1,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\NVector,2,203,170,48,8,33,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Tensor,2,221,185,46,13,36,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\src\Multilinear\Vector,2,217,188,46,6,29,0,0,0,0,0
C:\Users\Artur\Downloads\Multilinear\test,1,41,29,1,0,12,0,0,0,0,0
